股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
603444,吉比特,软件服务,42.81,250.6,10.97,39.71,11.1334,24.9283,7117.05,13.0317,78.9,95.99,22.32,335.08,234.59,244.19,,,,46
2466,天齐锂业,化工行业,25.83,390.5,1.54,4.6171,1.7863,2.6558,99442.22,1.705,39.41,71.25,48.29,109.15,510.03,532.44,预升,2017-03-28,19.59%~47.73%,41
300613,富瀚微,软件服务,110.95,124.1,2.5164,18.8781,2.5421,13.113,4444.48,4.3556,52.71,56.96,17.71,77.14,199.37,167.85,预盈,2017-02-17,0,39
300116,坚瑞沃能,机械行业,62.68,266.1,0.57,6.4414,-1.7708,5.0184,121626.23,0.4171,12.79,30.07,62.8,668.45,1100.42,1455.96,预盈,2017-03-07,0,38
300383,光环新网,电信运营,54.96,184.2,0.5,8.3739,0.6631,6.6417,72317.57,0.6611,7.77,27.62,27.74,291.8,195.07,209.26,预增,2017-03-21,36.47%~66.43%,38
2714,牧原股份,农牧饲渔,12.29,288.6,1.7,4.9349,1.2309,0.9086,103374.62,2.887,40.39,49.41,53.31,100.4,531.52,548.53,预增,2017-03-31,76.65%~90.24%,37
300324,旋极信息,软件服务,64.79,244.5,0.3283,4.205,0.5072,2.6913,114933.62,0.5279,17.92,59.35,25.35,123.27,265.67,263.86,预增,2017-03-25,145%~175%,36
300031,宝通科技,软件服务,63.01,88.68,0.3827,6.4378,0.3688,4.1638,39676.79,1.1245,7.04,50.84,13.74,211.74,106.05,104.55,预增,2017-03-17,50%~80%,35
2722,金轮股份,机械行业,63.18,84.22,0.59,9.3357,-0.3143,6.3265,17546.65,1.7937,6.79,20.92,25.7,296.19,125.41,112.61,预升,2017-03-31,-20%~20%,34
2624,完美世界,文化传媒,35.6,415.2,0.8871,5.4876,0.8785,3.1659,131467.45,1.2262,26.73,60.96,48.13,25.87,767.54,219.9,预增,2017-03-17,40.46%~65.55%,34
600258,首旅酒店,旅游酒店,88.8,186.0,0.2311,13.1002,4.7094,10.6999,67978.56,1.0642,13.02,94.5,81.7,361.51,133.91,330.3,,,,34
2366,台海核电,机械行业,45.56,214.9,0.82,4.0157,-0.187,1.7080000000000002,43352.87,1.6354,22.41,69.14,59.52,369.53,0.0,0.0,预升,2017-03-31,-6.36%~7.02%,34
300420,五洋科技,机械行业,104.84,76.21,0.3,4.6097,0.1,2.8528,24261.55,0.6983,7.51,36.23,22.15,193.46,235.01,300.45,预增,2017-03-04,175%~205%,33
802,北京文化,文化传媒,25.47,133.0,0.8625,6.0771,0.0003,4.4991,72625.03,0.8311,16.19,53.64,16.1,165.22,2361.3,0.0,,,,33
300156,神雾环保,环保工程,48.13,339.7,0.7,2.4959,0.2154,0.3476,101002.44,1.0909,34.07,34.45,48.72,157.28,289.47,764.69,预升,2017-03-25,1%~11%,33
2558,世纪游轮,软件服务,129.53,1376,0.52,4.3162,0.3566,2.5416,168698.33,1.0597,17.89,83.47,10.35,7.82,258.19,245.62,预增,2017-03-31,102.25%~115.12%,33
603160,汇顶科技,电子元件,59.79,480.2,1.51,5.5635,-0.1426,1.7767,44500.0,2.517,43.16,47.58,21.5,189.69,168.25,171.25,,,,33
300194,福安药业,医药制造,52.76,109.9,0.68,9.9947,0.9435,7.6207,39657.08,1.2491,7.72,46.92,9.87,83.17,242.0,275.17,预增,2017-03-31,175.02%~201.22%,33
2709,天赐材料,化工行业,38.05,160.7,0.9742,4.5834,0.2804,1.5246,32504.13,2.0345,23.79,41.15,29.67,108.51,531.02,498.89,,,,33
300457,赢合科技,电子元件,66.23,82.04,0.9993,11.0821,0.2433,7.4301,12396.23,2.3845,21.72,35.87,64.22,132.9,105.68,136.89,预增,2017-03-15,50.02%~78.14%,33
766,通化金马,医药制造,97.89,175.1,0.147,4.1851,-0.0914,3.7687,96649.47,-0.696,3.72,68.17,21.42,266.07,1773.7,3158.37,,,,33
971,高升控股,电子信息,95.22,105.7,0.25,6.8691,0.1168,6.4847,51127.37,-0.6362,5.59,32.9,8.02,323.11,4167.7,3971.07,,,,32
2464,金利科技,塑胶制品,95.85,100.5,1.27,8.0282,1.494,6.0776,14559.0,0.5287,17.32,84.43,44.44,-33.91,470.58,0.0,预增,2017-03-31,424.56%~467.38%,32
2322,理工环科,输配电气,90.23,83.75,0.17,7.2025,-0.4644,4.7328,40131.5,1.3092,2.42,63.58,6.01,85.82,180.07,205.93,预增,2017-03-31,310%~360%,32
2343,慈文传媒,文化传媒,63.83,124.2,0.4641,3.8044,-0.0105,0.32,31451.0,2.0424,13.35,32.54,66.46,190.12,215.65,245.34,预增,2017-03-31,21.94%~51.21%,32
2247,帝龙文化,文化传媒,40.73,140.0,0.4,5.224,0.0851,3.5435,85161.1,0.6438,10.18,31.82,11.29,73.31,277.29,251.01,预增,2017-03-21,420%~470%,31
2600,江粉磁材,材料行业,60.71,134.9,0.16,4.3538,0.2788,3.1666,117721.19,0.1629,4.19,9.23,55.67,189.55,844.29,1072.43,预增,2017-03-30,621.38%~671.18%,31
300628,亿联网络,通讯行业,39.07,168.9,5.7898,32.0618,6.2542,21.3698,7467.0,9.3161,71.36,63.13,11.34,39.56,74.59,76.57,预增,2017-03-02,65%~95%,31
600771,广誉远,医药制造,118.52,145.6,0.44,4.8377,-0.5998,5.0551,35311.13,-1.3013,15.82,77.94,19.3,118.7,5948.84,0.0,,,,31
2092,中泰化学,化工行业,15.37,283.3,0.9487,6.8891,0.8958,4.3234,214644.96,1.4294,14.74,26.36,64.25,41.84,5959.14,0.0,预增,2017-03-20,916.78%~1098.34%,31
