股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
300401,花园生物,食品饮料,133.03,58.23,0.11,4.2148,0.0909,0.2788,18140.0,2.6855,2.69,44.8,12.13,41.7,387.08,602.25,,,,23
300590,移为通信,电子信息,82.69,63.60,1.1909,9.2054,1.3456,6.4488,8000.0,1.4897,57.19,61.3,26.74,-7.31,-6.16,-8.14,预升,2017-04-08,11.04%~14.96%,23
300367,东方网力,安防设备,116.32,171.4,0.4186,4.0265,0.1,2.0691,85544.52,0.9543,15.08,58.81,33.39,45.68,34.69,13.03,预增,2017-04-10,30%~60%,23
2515,金字火腿,食品饮料,357.15,99.73,0.06,2.2675,0.0075,0.8872,61144.58,0.3304,2.51,49.67,12.24,79.97,182.2,326.24,预增,2017-04-14,178.93%~228.15%,23
300284,苏交科,工程建设,32.95,106.1,0.1014,5.5208,-0.5166,1.9693,55789.54,2.2659,1.85,25.78,61.78,112.52,3.62,-1.19,预升,2017-04-07,0%~10%,23
150,宜华健康,医疗行业,10.14,130.8,1.6623,5.4039,-1.2636,2.1801,44780.49,2.0197,36.35,25.92,65.13,25.72,1342.25,1299.2,预减,2017-04-15,-96.36%~-95.32%,23
2370,亚太药业,医药制造,74.54,85.01,0.57,8.1476,-0.1418,5.8722,26824.72,1.0999,10.82,39.38,11.16,86.31,125.75,125.05,,,,23
915,山大华特,医药制造,34.64,73.69,0.89,6.9092,1.9887,0.1919,18025.5,5.4417,13.54,61.8,19.5,36.9,92.01,92.64,预增,2017-04-12,70%~100%,23
2748,世龙实业,化工行业,57.3,54.07,0.4362,4.3464,0.2255,1.3857,24000.0,1.7076,10.53,23.38,14.06,14.4,183.51,167.44,预增,2017-04-21,300%~340%,23
600589,广东榕泰,化工行业,58.7,62.00,0.14,4.2157,0.0793,1.8428,70530.58,1.171,3.53,24.45,40.99,44.6,385.41,382.31,,,,23
55,方大集团,金属制品,16.98,118.5,0.09,3.0829,-0.0061,0.5923,78909.48,1.3745,2.83,31.2,63.75,22.26,205.38,178.26,预增,2017-04-11,201.95%~238.01%,23
300572,安车检测,仪器仪表,83.15,43.13,0.9542,7.5961,1.8442,3.9539999999999997,6667.0,2.3505,16.61,47.96,42.1,12.96,16.14,17.39,预升,2017-04-08,7.63%~15.91%,23
603258,电魂网络,软件服务,55.97,143.3,1.35,6.457000000000001,1.2874,3.4618,24000.0,1.5091,37.06,92.81,15.78,5.54,17.74,10.05,,,,23
600754,锦江股份,旅游酒店,42.18,284.4,0.7998,13.3633,2.3822,9.2332,95793.64,1.8547,6.94,90.55,67.6,91.19,8.93,26.85,,,,23
2408,齐翔腾达,化工行业,34.51,173.4,0.11,3.4272,0.0352,1.2248,177520.93,1.0446,3.31,15.72,31.05,111.28,397.87,430.36,,,,23
736,中房地产,房地产,45.48,57.09,0.32,5.1896,-1.8359999999999999,0.8549,29719.39,3.1885,3.12,22.43,83.12,365.62,346.31,350.85,预亏,2017-04-15,-335.36,23
2188,巴士在线,电子元件,227.1,82.30,0.09,6.7576,-0.1742,5.5207,29958.51,0.2119,1.35,46.17,10.37,422.83,0.0,0.0,,,,23
300502,新易盛,通讯行业,71.59,76.83,0.39,13.2142,-0.556,5.8834,7760.0,5.7238,2.96,25.55,17.73,30.9,39.1,34.16,预升,2017-04-07,16.39%~44.33%,23
2235,安妮股份,造纸印刷,466.83,68.60,0.046,5.7833,-0.1695,4.712,41373.65,0.024,0.71,29.94,9.59,78.59,2271.04,0.0,,,,23
600702,沱牌舍得,酿酒行业,111.37,89.32,0.1211,7.015,0.2866,2.3776,33730.0,2.9091,1.74,64.97,41.23,0.04,235.47,235.53,,,,23
603225,新凤鸣,化纤行业,0.0,0,0.3757,8.7674,-1.0319,3.1977,60200.0,4.3908,7.04,9.83,63.73,41.74,188.98,198.12,,,,23
2850,科达利,金属制品,78.41,182.4,1.6619,15.3799,2.9742,10.1154,14000.0,3.9545,30.01,30.49,42.13,28.45,50.61,50.85,,,,23
2833,弘亚数控,专用设备,47.9,76.68,1.55,5.2951,1.1945,2.0619,13336.0,1.8307,42.52,40.13,12.57,42.12,74.01,58.62,,,,23
723,美锦能源,煤炭采选,57.4,279.0,0.135,3.1509,0.0568,1.5719999999999998,228107.34,0.524,4.4,26.04,42.66,181.36,0.0,0.0,预盈,2017-04-14,632.02%~727.02%,23
600503,华丽家族,房地产,76.15,127.2,0.0782,2.338,0.6606,0.7483,160229.0,0.4698,3.4,38.92,41.24,286.92,658.14,1342.52,,,,23
2619,巨龙管业,水泥建材,78.16,128.4,0.07,4.3415,0.10099999999999999,2.6969,80002.11,0.6243,1.6,75.4,12.39,28.48,92.75,103.06,预增,2017-04-18,43.2%~93.2%,23
2218,拓日新能,电子元件,55.65,62.62,0.21,4.3739,0.053,3.1285,61817.11,0.2222,4.85,26.69,43.72,56.81,314.38,695.16,,,,23
300533,冰川网络,软件服务,75.58,116.2,1.87,14.8933,1.0926,8.7978,10000.0,4.5913,18.56,90.97,13.92,2.92,-9.38,-12.58,,,,23
2617,露笑科技,金属制品,169.29,109.6,0.0681,3.1576,-0.3427,1.7178,73482.48,0.4046,2.18,14.39,45.4,175.42,880.72,986.06,,,,23
2581,未名医药,医药制造,45.81,164.9,0.41,3.5191,0.2552,2.0534,65973.56,1.0306,12.22,76.42,4.88,73.68,84.8,87.09,,,,23
603239,浙江仙通,汽车行业,78.21,89.16,0.68,10.4007,-0.1916,5.3366,9024.0,3.583,6.71,48.35,12.47,49.43,81.26,74.95,,,,23
2205,国统股份,水泥建材,275.2,36.68,-0.1013,7.7824,-0.7942,4.4973,11615.2,1.9822,-4.98,12.95,54.34,306.1,0.0,0.0,,,,23
2851,麦格米特,电力行业,127.2,139.5,0.6171,6.6373,0.5374,3.3211,17772.51,2.1232,17.27,33.77,47.06,41.98,93.85,96.73,,,,23
300036,超图软件,软件服务,61.31,78.14,0.58,3.5942,0.4964,1.845,44957.9,0.7292,11.04,63.38,25.62,78.35,116.83,100.28,,,,23
300627,华测导航,电子信息,31.44,32.10,0.8565,5.3420000000000005,0.6758,3.1089,11920.0,1.0807,37.24,55.15,38.48,33.14,93.07,60.78,,,,23
300420,五洋科技,机械行业,104.84,76.21,0.1498,2.3048,0.1,0.9264,48523.1,0.3491,7.51,36.23,22.15,193.46,235.01,300.45,,,,23
