股票代码,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%)
600456,-0.0843,7.8776,-0.4819,5.5099,43026.57,0.9534,-1.06,11.93,48.26,57.7,0.0,0.0
600458,0.03,6.0645,-0.6045,3.8477,80279.82,1.2809,0.42,16.91,62.85,-17.97,-69.47,-70.59
600459,0.11,7.1987,-2.1635,4.4733,26097.77,1.4289,1.52,2.26,54.05,76.19,77.06,502.87
600460,0.026,2.0189,-0.0204,0.1371,124716.8,0.761,1.31,26.89,40.17,36.35,1487.62,0.0
600461,0.07,3.9759,0.0825,1.7038,78959.36,1.0942,1.61,25.54,55.28,1.36,-6.22,1.48
600462,0.0016,0.5475,-0.0694,1.2047,53378.0,-1.698,0.29,9.25,32.13,191.96,0.0,0.0
600463,0.03,4.6422,0.0305,2.1246,30000.0,1.2977,0.57,21.33,48.99,50.41,391.83,400.1
600466,0.0559,4.4043,0.0861,0.7697,213521.91,2.2719,1.29,25.87,81.1,207.55,0.0,0.0
600467,0.007,2.0338,0.0181,0.2727,146099.43,0.6226,0.34,30.24,42.69,27.88,24.41,116.85
600468,0.0302,3.2683,-0.1526,1.8885,54074.23,0.3392,0.93,27.92,27.75,45.65,61.73,73.39
600469,-0.212,4.1499,-0.5372,3.1204,56241.32,-0.4679,-4.97,7.48,70.89,18.04,-508.91,-603.85
600470,-0.04,3.8044,-0.3737,2.4208,52160.0,0.09,-1.04,10.47,67.49,2.53,0.0,0.0
600475,0.2681,17.0121,-0.0381,0.8273,25600.0,13.6054,4.71,19.4,47.87,39.84,451.75,386.43
600476,0.004,1.2336,-0.19,0.8438,16107.0,-0.6936,0.33,20.76,42.46,16.52,0.0,0.0
600477,0.113,2.1777,-0.0776,0.281,105714.94,0.766,5.43,33.7,58.61,19.6,229.36,232.47
600478,-0.024,0.9198,-0.0597,0.0992,139107.03,-0.169,-2.53,8.99,55.41,-6.99,0.0,0.0
600479,0.0795,5.0861,0.138,1.8954,34875.59,1.7094,1.58,46.67,31.93,26.33,32.28,43.97
600480,0.21,7.9919,-1.1275,3.8573,45093.42,2.8718,2.71,20.04,54.47,47.29,57.23,54.14
600481,-0.0074,1.2983,-0.0976,0.0102,162049.58,0.0797,-0.57,30.7,48.9,-34.3,-132.62,-146.46
600482,0.13,14.7659,-0.2557,11.1463,173919.09,2.4962,0.89,16.54,32.22,8.73,5.87,4.5
600483,0.13,6.5588,0.2941,2.0652,155182.56,1.7857,1.98,21.59,40.39,3.22,35.94,-5.66
600485,-0.09,3.9491,-0.0795,1.0494,292374.28,2.0412,-2.0,64.62,45.63,-91.18,-159.77,-160.32
600486,0.419,11.5511,1.0104,2.6311,30989.89,6.8611,3.7,24.83,39.08,28.4,36.6,24.04
600487,0.2237,4.9695,-0.6688,0.6754,124126.91,2.9877,4.62,21.79,66.47,37.56,141.94,130.57
600488,0.011,2.5782,0.0364,0.6334,96085.5,0.7822,0.41,15.53,18.84,9.01,-36.01,-35.85
600489,0.03,3.8702,0.1383,1.1975,345113.72,1.4812,0.66,11.02,62.24,43.51,46.01,86.19
600490,0.0482,2.9592,0.0665,1.7786,188136.69,0.0777,2.12,20.22,24.9,43.34,185.39,219.48
600491,0.0947,4.268,-0.0848,1.1714,126210.0,1.6329,2.24,8.64,79.93,-2.88,73.49,91.33
600493,0.0149,2.5549,-0.0689,0.7019,27200.0,0.5386,0.58,12.5,27.27,21.06,40.94,48.41
600495,-0.009,2.5603,0.007,0.9602,120819.09,0.4528,-0.35,15.04,16.21,11.08,-380.19,0.0
600496,0.0144,2.5103,-0.1966,0.2201,151044.52,1.1153,0.57,12.08,62.13,-2.03,-35.53,-26.65
600497,0.0677,2.1128,0.144,1.1969,430989.82,-0.1577,3.26,17.15,64.24,96.28,0.0,0.0
600498,0.13,7.0877,-2.0564,2.936,104627.3,2.7758,1.89,28.92,67.35,26.22,16.3,14.2
600499,0.125,2.9898,-0.1004,0.1972,141146.43,1.5945,4.36,22.95,50.34,28.64,30.08,41.11
600500,0.11,5.5229,-0.9105,2.1506,208301.27,2.2177,2.08,11.51,61.8,55.89,288.99,8.64
600501,0.0,5.2268,-0.675,3.5041,42128.36,0.5334,-0.02,24.84,50.27,-8.52,0.0,0.0
600502,0.045,3.1994,-0.3328,0.3576,90424.72,1.489,1.41,11.0,76.73,-17.81,-11.81,-7.62
600503,0.0541,2.2118,-0.1768,0.5923,160229.0,0.486,2.04,16.17,44.36,361.44,755.46,833.44
600505,0.0283,2.8566,0.1369,0.209,36456.75,1.3291,1.0,22.63,47.98,6.51,103.18,80.64
600506,0.001,1.8051,0.0326,1.5164,14770.69,-0.9428,0.04,5.64,5.14,27.09,0.0,0.0
600507,0.215,2.2133,0.4128,0.0349,132609.3,0.8483,10.2,21.97,65.54,62.43,360.84,363.57
600508,0.23,12.1069,0.1932,1.3146,72271.8,8.9087,1.93,30.8,34.63,24.78,4382.0,3480.45
600509,0.15,5.3959,0.1421,2.834,90569.66,1.2277,2.79,34.39,74.74,17.12,70.24,83.24
600510,0.07,7.1579,-0.2558,2.8542,104709.5,2.2461,0.95,14.13,57.88,12.13,18.75,18.21
600511,0.2954,7.6393,0.1558,0.1867,47880.0,5.6068,3.94,7.46,44.17,9.14,15.18,15.39
600512,0.02,2.9216,-0.1396,1.6103,159890.28,0.2038,0.76,11.63,37.06,-3.46,6509.88,6853.02
600513,0.06,3.8243,-0.0633,1.4727,21958.17,1.1832,1.56,63.92,18.75,-15.76,4.39,3.38
600515,0.007,9.3376,0.0111,7.5424,390759.25,0.4166,9.85,35.99,52.19,-30.48,-84.96,-71.49
600516,0.0428,3.4401,0.0696,0.9721,171916.04,1.3077,1.25,33.28,23.57,46.36,566.34,1157.53
600517,0.03,2.6145,-0.3535,0.2781,135616.78,1.192,1.19,11.88,56.61,-14.27,-45.55,-87.14
600518,0.217,5.4936,0.2728,2.2954,494722.37,1.9285,4.0,29.58,48.24,21.56,7.96,7.75
600519,4.87,62.9023,4.8631,1.0945,125619.78,54.801,8.06,91.16,30.7,35.73,25.24,25.83
600520,-0.01,2.6985,-0.0836,2.3954,15843.0,-0.7737,-0.4,20.67,40.07,36.05,0.0,0.0
600521,0.14,4.3481,-0.1266,1.1496,104256.04,1.8833,3.14,51.03,33.31,16.69,15.01,-7.14
600522,0.1528,5.4192,-0.4401,2.4845,306607.25,1.5493,3.68,16.87,30.37,24.99,41.23,31.15
600523,0.11,7.3634,0.0984,3.2249,28879.38,2.462,1.56,21.25,37.0,26.98,86.45,119.15
600525,0.0328,5.5338,-0.1958,1.5617,131731.14,1.929,0.61,45.2,49.69,4.6,-57.1,-61.13
600526,0.03,4.6579,-0.592,3.1077,54740.47,0.4886,0.63,19.93,67.84,7.57,-18.1,-28.43
600527,0.0188,2.0054,0.0529,0.1601,80208.94,0.6921,0.92,16.3,4.66,1.22,572.84,1096.6
600528,0.15,6.1626,-0.2813,2.3869,222155.16,2.3885,3.5,20.11,53.79,-73.57,-3.81,-4.66
600529,0.21,10.2445,0.3297,3.9692,30355.5,4.4041,2.11,28.41,22.3,27.52,67.62,58.35
600530,0.043,2.1419,-0.0116,0.0734,78000.0,0.3388,2.02,67.08,29.96,-11.95,9.3,-15.71
600531,0.0448,2.8238,-0.5311,1.3335,109024.26,0.3542,1.6,4.4,72.5,27.99,59.45,-10.93
600532,-0.02,3.6765,0.012,2.0301,51606.57,0.6036,-0.01,24.97,28.91,57.81,0.0,0.0
600533,-0.0163,3.8065,-0.1544,1.0119,105000.0,0.9029,-0.43,11.89,71.01,-11.09,-276.9,-362.91
600535,0.2945,7.6652,-0.6655,1.4293,108047.59,4.4752,3.92,32.75,52.53,6.45,14.84,15.19
600536,-0.18,3.9941,-1.8178,1.9719,49456.28,0.9805,-4.39,31.96,49.92,15.34,0.0,0.0
600537,0.01,2.5861,-0.2461,0.4997,117635.93,1.0496,0.31,16.47,53.74,-35.02,-89.96,-94.23
600538,-0.01,1.3936,-0.0568,1.2638,46440.12,-0.9489,-0.48,11.73,26.37,5.18,0.0,0.0
600539,0.003,2.0494,0.012,2.3755,23000.0,-1.4887,0.16,22.07,8.8,40.75,0.0,0.0
600540,0.0077,1.3116,-0.1883,1.7089,47092.33,-1.4846,0.6,6.75,76.97,191.15,0.0,0.0
600543,0.04,3.4683,0.0955,1.451,32112.0,0.6871,1.21,59.07,14.03,-6.72,-17.54,-18.88
600545,-0.0478,2.662,-0.3274,0.8325,67578.58,0.592,-1.78,24.27,81.54,-21.55,0.0,0.0
600546,0.01,2.0452,0.2131,1.1328,198245.61,-0.3045,0.57,7.48,82.83,35.1,0.0,0.0
600547,0.18,8.5334,0.2298,2.2697,185711.88,5.0114,2.09,10.96,43.66,7.63,60.16,62.35
600548,0.16,5.9717,0.2672,0.9864,218077.03,2.6438,2.71,50.42,53.87,3.37,38.51,34.71
600549,0.1213,6.1229,-0.5361,3.027,108157.4,1.675,2.0,25.36,49.2,61.25,534.32,0.0
600550,0.02,0.2901,0.0041,2.0493,153460.71,-2.9926,5.42,20.38,93.22,2.18,76.71,75.47
600551,0.2293,10.1609,-1.1222,2.6575,50582.53,4.5898,2.27,10.22,34.64,19.43,2.74,9.22
600552,0.0313,6.1199,0.1553,3.5331,38352.48,1.5083,0.51,14.93,50.51,50.45,15.82,12.15
600555,-0.04,1.1514,-0.0382,0.3098,130350.0,-0.296,-3.22,-17.58,57.56,-41.91,0.0,0.0
600556,-0.0048,0.1838,0.0033,1.1547,39479.37,-2.0685,-2.6,11.41,44.82,-38.84,0.0,0.0
600557,0.14,5.2399,0.0158,0.8442,61644.91,2.9503,2.73,74.41,32.25,10.15,5.44,3.46
600558,0.017,2.0791,-0.0938,0.4991,89760.48,0.4812,0.83,18.0,24.61,29.54,29.57,38.19
600559,0.09,3.7665,-0.2215,1.5638,43806.02,1.0025,2.54,56.58,48.22,2.65,35.28,57.57
600560,0.03,3.2864,-0.1455,0.9243,22364.55,1.1096,0.87,20.71,55.42,12.06,-20.18,-13.91
600561,-0.025,5.8882,0.6743,2.0257,23706.4,2.1555,-0.43,10.76,73.68,0.98,-144.38,-150.84
600562,0.05,3.575,-0.2098,1.0345,47873.13,1.3604,1.38,30.23,28.5,6.15,0.14,-12.71
600563,0.367,9.6913,0.2551,1.1643,22500.0,6.8278,3.86,41.83,10.99,-2.75,-2.81,-0.56
600565,0.04,2.733,0.1115,1.0133,241886.0,0.7648,1.25,19.12,76.69,26.55,11.06,12.71
600566,0.359,4.0855,0.4187,1.8857,80962.4,1.5088,7.64,85.6,26.9,21.46,39.01,33.96
600567,0.1,1.9365,-0.1114,0.9432,455125.33,0.2444,5.04,25.33,58.54,37.32,615.46,953.37
600568,0.0884,8.3206,0.0992,6.006,71173.92,1.2014,1.06,41.78,13.41,64.25,106.29,102.88
600569,-0.084,1.9377,0.7209,1.4463,239368.45,-1.2549,-4.24,6.31,83.53,11.33,0.0,0.0
600570,0.07,4.0058,-0.6701,0.3565,61780.52,1.8673,1.74,95.76,39.33,31.42,-41.08,-48.12
600571,0.034,2.6634,-0.4573,0.407,43967.92,1.1266,1.26,55.41,28.26,0.5,3.61,7.72
600572,0.08,1.7898,0.0765,0.027,251073.0,0.6722,4.3,68.78,44.37,-25.76,23.36,24.74
600573,-0.05,4.3164,-0.0381,2.0243,25000.0,0.7638,-1.24,23.78,8.43,-8.55,0.0,0.0
600575,0.03,2.078,-0.0092,1.2748,390811.02,-0.247,1.55,15.13,46.65,64.69,-8.14,3.55
600576,0.041,2.9196,-0.026,1.7228,63496.86,0.1245,1.42,37.78,9.29,29.18,112.85,112.23
