股票代码,预告类型,预告日期,变动范围
000018,预升,2017-05-03,30%~50%
002868,预升,2017-05-02,-19%~5%
300647,预升,2017-05-02,0%~10%
300650,预升,2017-05-02,6%~20%
603505,预盈,2017-05-02,0
000903,预增,2017-04-29,50.6%~68.85%
600339,预盈,2017-04-29,0
300343,预增,2017-04-29,0
002122,预增,2017-04-29,45%~95%
600415,预升,2017-04-29,50
600345,预增,2017-04-29,0
002610,预升,2017-04-29,-19.45%~20.82%
002192,预增,2017-04-29,34%~78%
002047,预升,2017-04-29,0%~30%
002611,预增,2017-04-29,290%~340%
002425,预增,2017-04-29,100%~150%
002651,预增,2017-04-29,20%~70%
002742,预升,2017-04-29,5%~15%
002653,预升,2017-04-29,-10%~10%
002554,预增,2017-04-29,20%~60%
002188,预增,2017-04-29,64.52%~113.88%
002480,预亏,2017-04-29,0
600130,预亏,2017-04-29,0
002618,预升,2017-04-29,-25%~25%
002780,预减,2017-04-29,-100%~-85%
002597,预增,2017-04-29,90%~115%
002103,预增,2017-04-29,30%~80%
002133,预降,2017-04-29,-60.91%~-41.36%
002605,预升,2017-04-29,-30%~20%
002284,预升,2017-04-29,-20%~20%
002204,预减,2017-04-29,-90%~-60%
002435,预增,2017-04-29,105.27%~149.26%
002421,预升,2017-04-29,20%~50%
002350,预升,2017-04-29,10%~40%
002599,预增,2017-04-29,60%~100%
600746,预增,2017-04-29,0
002586,预降,2017-04-29,-50%~0%
600890,预亏,2017-04-29,0
002725,预降,2017-04-29,-50%~0%
600121,预盈,2017-04-29,0
002100,预升,2017-04-29,-10%~20%
002452,预升,2017-04-29,0%~50%
002572,预升,2017-04-29,30%~50%
002722,预升,2017-04-29,-20%~20%
002451,预增,2017-04-29,80%~130%
002404,预增,2017-04-29,10%~60%
002212,预减,2017-04-29,-115.82%~-66.1%
002440,预升,2017-04-29,13.63%~32.56%
000011,预盈,2017-04-29,5757
002055,预增,2017-04-29,70%~100%
002399,预减,2017-04-29,-100%~-70%
002523,预升,2017-04-29,10%~40%
600539,预盈,2017-04-29,0
600589,预增,2017-04-29,30%~60%
603322,预减,2017-04-29,0
002140,预升,2017-04-29,0%~30%
002130,预降,2017-04-29,-30%~0%
000058,预增,2017-04-29,75.01
601636,0,2017-04-29,150%
000525,预增,2017-04-29,476.34%~525.24%
002030,预升,2017-04-29,-10%~20%
002413,预升,2017-04-29,0%~50%
002151,预增,2017-04-29,50%~100%
002419,预升,2017-04-29,0%~50%
002594,预降,2017-04-29,-31.41%~-20.34%
002741,预升,2017-04-29,20%~50%
002115,预盈,2017-04-29,0
002769,预升,2017-04-29,-30%~20%
002012,预盈,2017-04-29,0
002749,预升,2017-04-29,0%~30%
600150,预亏,2017-04-29,0
600166,0,2017-04-29,50%
600308,预增,2017-04-29,0
000887,预升,2017-04-29,30%~40%
000633,减亏,2017-04-29,30.5%~52.45%
600822,0,2017-04-29,50%
002626,预增,2017-04-29,5%~55%
002713,减亏,2017-04-29,0
002126,预升,2017-04-29,20%~40%
600633,预增,2017-04-29,0
000426,预增,2017-04-29,972.48%~1294.22%
000697,预亏,2017-04-29,-257.66
002623,预降,2017-04-29,-26.71%~-10.06%
600615,预增,2017-04-29,0
002432,预亏,2017-04-29,0
002314,预亏,2017-04-29,0
002191,预降,2017-04-29,-30%~0%
600241,预亏,2017-04-29,0
600027,0,2017-04-29,-50%
600242,预盈,2017-04-29,0
002692,预降,2017-04-29,-30%~0%
600470,预盈,2017-04-29,0
002429,预升,2017-04-29,0%~30%
002770,预增,2017-04-29,40%~60%
002050,预升,2017-04-29,20%~50%
002316,预亏,2017-04-29,0
002373,预升,2017-04-29,10%~20%
600826,预减,2017-04-29,0
002377,减亏,2017-04-29,0
002488,预亏,2017-04-29,0
000018,预升,2017-04-29,30%~50%
002131,预升,2017-04-29,10%~40%
002215,预盈,2017-04-29,0
002285,预升,2017-04-29,0%~30%
603077,预增,2017-04-29,0
603886,预亏,2017-04-29,0
002370,预增,2017-04-29,45%~85%
002242,预升,2017-04-29,-20%~20%
300277,预亏,2017-04-29,0
002306,减亏,2017-04-29,0
002532,预增,2017-04-29,30%~80%
600322,预盈,2017-04-29,0
002548,预升,2017-04-29,-10%~30%
002138,预升,2017-04-29,-20%~10%
600198,预亏,2017-04-29,0
600096,减亏,2017-04-29,0
002180,预亏,2017-04-29,0
002024,预盈,2017-04-29,247.08%~329.6%
002127,预增,2017-04-29,40%~78%
002210,预升,2017-04-29,0%~30%
002552,减亏,2017-04-29,0
002514,预增,2017-04-29,210%~260%
600758,预盈,2017-04-29,0
002143,预升,2017-04-29,0%~50%
002416,预增,2017-04-29,42.6%~75.51%
002070,预升,2017-04-29,-36%~27.7%
002439,预亏,2017-04-29,0
002323,预增,2017-04-29,105%~155%
002504,预降,2017-04-29,-50.18%~-25.28%
002072,预减,2017-04-29,-95%~-75%
002816,预降,2017-04-29,-43.17%~-2.58%
600133,预增,2017-04-29,0
600058,预降,2017-04-29,0
600100,预减,2017-04-29,0
600098,预减,2017-04-29,0
600310,预警,2017-04-29,0
601088,0,2017-04-29,100%
600319,预亏,2017-04-29,0
600596,预盈,2017-04-29,0
600745,预增,2017-04-29,0
600984,预盈,2017-04-29,0
603160,预增,2017-04-29,0
600477,预增,2017-04-29,0
600247,预亏,2017-04-29,0
600686,预减,2017-04-29,0
603869,预增,2017-04-29,160%~190%
601801,预增,2017-04-29,55%~85%
002193,预升,2017-04-29,4.62%~49.46%
002252,预升,2017-04-29,-15%~15%
600207,预亏,2017-04-29,0
600647,预减,2017-04-29,0
002232,预升,2017-04-29,-17.42%~32.13%
002406,预升,2017-04-29,0%~20%
603318,0,2017-04-29,50%
600678,减亏,2017-04-29,0
600764,预警,2017-04-29,0
002571,减亏,2017-04-29,0
600210,预增,2017-04-29,230%~280%
600071,预亏,2017-04-29,0
600784,预警,2017-04-29,0
601919,预盈,2017-04-29,0
600798,预增,2017-04-29,0
000829,预盈,2017-04-29,109.68%~125.82%
000033,预升,2017-04-29,-0.01%~48.94%
002566,预升,2017-04-28,15%~35%
002381,预升,2017-04-28,20%~50%
600701,预增,2017-04-28,0
002375,预升,2017-04-28,10%~30%
002324,预升,2017-04-28,-25%~25%
002005,预升,2017-04-28,-25%~25%
600628,预增,2017-04-28,0
002161,预亏,2017-04-28,0
002356,预升,2017-04-28,-19.86%~8.99%
002071,预升,2017-04-28,0%~10%
002061,预增,2017-04-28,589.32%~714.65%
600815,预盈,2017-04-28,0
600793,预亏,2017-04-28,0
600749,预亏,2017-04-28,0
600618,预增,2017-04-28,0
600293,预增,2017-04-28,0
600803,预增,2017-04-28,100%~150%
601028,预警,2017-04-28,0
603007,预增,2017-04-28,0
600997,预升,2017-04-28,0
601898,预升,2017-04-28,0
601208,预增,2017-04-28,140%~190%
603738,预增,2017-04-28,0
603993,预增,2017-04-28,0
603800,预盈,2017-04-28,0
603799,预盈,2017-04-28,0
000166,预警,2017-04-28,0
000750,预警,2017-04-28,0
600093,预增,2017-04-28,0
600410,预盈,2017-04-28,0
600160,预增,2017-04-28,0
000695,预亏,2017-04-28,-1790.56%~-1250.4%
002213,预减,2017-04-28,-95%~-60%
002737,预升,2017-04-28,-10%~20%
002458,预亏,2017-04-28,0
002748,预增,2017-04-28,160%~210%
002165,预降,2017-04-28,-40%~-10%
002640,预增,2017-04-28,90%~120%
002093,预增,2017-04-28,80%~130%
002460,预增,2017-04-28,70%~120%
002462,预升,2017-04-28,20%~40%
600209,预亏,2017-04-28,0
600230,预盈,2017-04-28,0
600152,预盈,2017-04-28,0
002575,预亏,2017-04-28,0
002433,预升,2017-04-28,30%~45%
002758,预升,2017-04-28,0%~30%
002396,预升,2017-04-28,30%~50%
002629,减亏,2017-04-28,0
002545,预增,2017-04-28,20%~60%
002297,减亏,2017-04-28,0
002027,预升,2017-04-28,28.87%~34.13%
002112,预亏,2017-04-28,0
600665,预盈,2017-04-28,0
600475,预增,2017-04-28,0
600306,预盈,2017-04-28,0
002329,预升,2017-04-28,0%~30%
002542,预升,2017-04-28,10%~30%
002761,预降,2017-04-28,-45%~-15%
002467,预降,2017-04-28,-70%~-40%
002752,,,
