股票代码,股票名称,所属行业,PE(动),总市值,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%),预告类型,预告日期,变动范围,score
603444,吉比特,软件服务,42.81,250.6,2.2857,30.3215,1.5724,13.6115,7173.99,15.214,8.15,92.42,17.91,317.67,198.34,208,,,,41
600258,首旅酒店,旅游酒店,88.8,186,0.0512,9.9427,0.3473,7.4104,67978.56,1.1894,0.52,94.9,58.74,437.35,395.55,248.68,,,,39
603007,花王股份,园林工程,92.24,76.01,0.22,6.467,-1.7457,2.832,13335,2.334,3.38,34.33,43.07,132.06,486.63,486.04,预增,2017/4/28,0,35
603869,北部湾旅,旅游酒店,87.54,109.4,0.026,10.2098,-0.5518,8.0501,34880.63,1.0299,0.25,41.58,28.64,398.56,134.04,130.39,预增,2017/4/29,160%~190%,35
600701,工大高新,综合行业,227.13,173.9,0.06,4.186,-0.2519,2.691,103473.52,0.3172,1.45,31.12,39.66,253.7,4339.27,0,预增,2017/4/28,0,35
300451,创业软件,软件服务,139.94,88.17,0.09,8.0897,-0.6652,6.1159,24294.93,1.2292,1.33,45.23,17.35,190.85,2588.41,5042.94,,,,35
2147,新光圆成,机械行业,36.37,231,0.016,5.2548,-0.3921,2.0621,140621.26,2.1437,0.3,45.4,51.57,233.9,340.2,360.33,,,,35
11,深物业A,房地产,0,97.68,0.5061,4.5512,-0.4245,0.2013,59597.91,2.925,11.77,74.73,57.18,429.73,52167.63,155693.86,预盈,2017/4/29,5757,35
300148,天舟文化,文化传媒,86.12,131.9,0.09,6.7706,-0.1119,4.7606,64994.96,0.9772,1.35,72.53,9.41,182.68,463.2,459.1,,,,34
600382,广东明珠,国际贸易,41.76,73.99,0.1392,10.3499,-1.5301,4.1744,46682.47,4.7497,1.35,80.75,19.85,82.15,249.47,403.7,,,,34
600293,三峡新材,玻璃陶瓷,514.87,144.4,0.0846,4.458,0.5665,3.133,77475.47,0.2445,1.92,7.55,48.41,1112.47,6242.42,6184.11,预增,2017/4/28,0,34
300456,耐威科技,航天航空,404.21,95,0.0509,7.4326,-0.0474,4.8939,18518.71,1.4758,0.69,29.41,24,687.53,677.4,137.26,,,,34
2040,南京港,港口水运,303.66,85.96,0.0565,6.274,0.0744,4.4331,37228.22,0.6866,0.9,46.72,38.65,277.73,258.93,298.19,,,,33
