股票代码,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%)
600000,1.873,15.2598,-6.9292,3.4544,2161827.99,3.9685,12.86,0.0,93.45,11.32,9.47,9.09
600004,0.919,9.247,1.1434,3.2915,115006.45,4.3989,10.59,39.36,36.28,8.06,14.11,13.71
600005,0.037,2.8527,0.355,0.9837,1009377.98,0.4154,1.3,7.75,69.91,-12.34,0.0,0.0
600006,0.1136,3.257,-0.3226,0.3073,200000.0,1.5866,3.5,15.0,62.03,-9.17,-31.56,-17.35
600007,0.68,6.0906,1.107,1.859,100728.25,2.7316,11.71,55.36,45.25,3.44,9.36,11.37
600008,0.1267,1.6052,0.6137,0.126,482061.41,0.4024,6.76,32.94,65.65,12.04,13.92,75.44
600009,1.46,11.5709,1.3362,1.3366,192695.84,8.5546,13.17,45.13,16.03,10.6,10.83,12.66
600010,0.0072,1.4542,0.1571,0.443,3256073.76,-0.021,0.5,6.49,66.29,14.44,0.0,0.0
600011,0.58,5.3631,2.073,1.2007,1520038.34,2.5797,10.91,21.46,68.73,-11.71,-36.06,-40.94
600012,0.5627,5.2327,1.0565,0.1691,165861.0,3.4893,11.16,57.49,28.2,2.97,-0.49,-0.81
600015,1.37,12.0091,6.8277,2.6916,1068557.22,4.9881,11.82,0.0,93.44,10.25,5.07,4.89
600016,1.07,8.9506,23.4488,1.7745,3648534.88,3.6299,16.58,0.0,94.04,0.18,2.05,2.61
600017,0.06,3.3484,0.3232,0.961,307565.39,1.1992,1.73,16.86,42.25,-2.31,-42.81,-43.77
600018,0.2994,2.6204,0.0879,0.3704,2317367.47,1.0495,11.38,30.08,41.57,6.26,5.74,7.26
600019,0.2533,5.9939,0.5721,1.9323,2210265.69,1.8893,4.86,12.23,52.03,9.12,148.33,169.23
600020,0.1608,3.9093,1.1344,0.7897,224737.18,1.5684,4.15,59.17,75.5,-21.22,-41.83,-42.34
600021,0.3824,4.9595,1.7598,1.9644,213973.93,1.6839,7.8,25.21,69.87,-7.33,-10.29,10.93
