股票代码,预告类型,预告日期,变动范围
002309,预亏,2017-04-25,0
600482,预升,2017-04-25,5.87
002341,预升,2017-04-25,0%~30%
002512,预亏,2017-04-25,0
002432,预亏,2017-04-25,0
002571,预亏,2017-04-24,0
600844,预盈,2017-04-22,0
603385,预升,2017-04-22,35%~45%
601058,预亏,2017-04-22,0
000798,减亏,2017-04-22,57%~62%
600410,预亏,2017-04-22,0
600487,预增,2017-04-22,100%~150%
600979,预增,2017-04-21,0
600491,预增,2017-04-21,70%~80%
002556,预增,2017-04-21,50%~70%
601699,预增,2017-04-21,0
002748,预增,2017-04-21,300%~340%
002501,预升,2017-04-20,5%~25%
002693,减亏,2017-04-20,0
002337,减亏,2017-04-20,0
603007,预增,2017-04-20,486
600188,预增,2017-04-20,580%~600%
600958,预增,2017-04-20,99.55
000887,预升,2017-04-20,30%~40%
300554,预增,2017-04-20,42.18%~77.73%
000558,预降,2017-04-20,0
002035,预增,2017-04-20,50%~70%
600121,预盈,2017-04-20,0
601126,预亏,2017-04-20,-296
600644,预降,2017-04-19,-7.8
600456,减亏,2017-04-19,0
002297,减亏,2017-04-19,0
600388,预升,2017-04-19,18.52
601677,预升,2017-04-19,45
600288,减亏,2017-04-19,0
600366,预减,2017-04-19,-87%
002538,预降,2017-04-19,-40%~-10%
002211,预盈,2017-04-19,0
601901,预减,2017-04-19,-52.24
601899,预增,2017-04-19,1400%~1500%
600888,预增,2017-04-19,230%~280%
002048,预增,2017-04-19,50%~90%
603165,预增,2017-04-18,236
000893,预亏,2017-04-18,-347.76%~-302.71%
002619,预增,2017-04-18,43.2%~93.2%
600917,预升,2017-04-18,0.13
603878,预盈,2017-04-18,0
600782,预盈,2017-04-18,0
600884,预增,2017-04-18,60%~110%
600628,预增,2017-04-17,1830%~1880%
000498,预盈,2017-04-17,1375.3
000670,预减,2017-04-15,0
000833,预盈,2017-04-15,0
000672,预盈,2017-04-15,360.41%~392.96%
000019,预亏,2017-04-15,0
000815,减亏,2017-04-15,52.15%~60.85%
000673,预升,2017-04-15,30
000878,预盈,2017-04-15,0
000938,预增,2017-04-15,606%~757%
000760,预亏,2017-04-15,0
000965,预增,2017-04-15,114.89%~127.53%
000600,预减,2017-04-15,-65.57
002089,预盈,2017-04-15,0
