股票代码,预告类型,预告日期,变动范围
300312,减亏,2017-04-10,36.68%~51.58%
300367,预增,2017-04-10,30%~60%
300414,预降,2017-04-10,-60%~-30%
300132,预增,2017-04-10,149.38%~224.19%
300622,预升,2017-04-10,11.07%~39.23%
000990,预盈,2017-04-10,1238.4%~1295.32%
000581,预增,2017-04-10,55%~60%
300478,预降,2017-04-10,-30%~0%
300392,预亏,2017-04-10,0
300573,预升,2017-04-10,9.6%~20.29%
300441,预增,2017-04-10,370%~400%
300260,预增,2017-04-10,121.34%~148.52%
300369,预亏,2017-04-10,0
300364,减亏,2017-04-10,30%~55%
300505,预升,2017-04-10,25%~45%
300173,预减,2017-04-10,-100%~-70%
300001,预升,2017-04-10,0%~15%
300538,预升,2017-04-10,0%~20%
300135,预升,2017-04-10,20%~50%
300546,预盈,2017-04-10,0
300580,预升,2017-04-10,-14.83%~14.8%
300051,预升,2017-04-10,8.87%~31.15%
300393,预增,2017-04-10,92.33%~119.81%
300057,预降,2017-04-10,-50%~-20%
300124,预升,2017-04-10,15%~30%
300608,减亏,2017-04-10,0
300351,预升,2017-04-10,0%~10%
300578,预降,2017-04-10,-35.35
300583,预降,2017-04-10,-37.91%~-25.04%
300556,预亏,2017-04-10,0
300529,预升,2017-04-10,20%~35%
300522,预升,2017-04-10,-10%~10%
300405,预增,2017-04-10,30%~59%
300610,预升,2017-04-10,5%~12%
300344,减亏,2017-04-10,0
300444,预亏,2017-04-10,0
300297,预增,2017-04-10,160%~190%
300456,预增,2017-04-10,720%~750%
300566,预升,2017-04-10,20%~40%
300063,预升,2017-04-10,0.01%~29.97%
300461,预升,2017-04-10,18.63%~40.87%
300117,预升,2017-04-10,-5.58%~22.75%
300519,预降,2017-04-10,-20%~-10%
300425,预亏,2017-04-10,0
300133,预升,2017-04-10,0%~20%
300490,预降,2017-04-10,-40%~-20%
300565,预减,2017-04-10,-66.2%~-58.7%
300382,预升,2017-04-10,-15%~5%
300280,预降,2017-04-10,-25.87%~-15.28%
300494,预增,2017-04-10,187.1%~215.25%
300206,预增,2017-04-10,305.05%~334.73%
300359,预亏,2017-04-10,0
300301,预减,2017-04-10,-86.27%~-65.68%
300300,预升,2017-04-10,-20%~10%
002174,预增,2017-04-10,54.09%~99.41%
300093,预升,2017-04-10,0%~30%
300134,预亏,2017-04-10,-217.18%~-187.89%
300040,预增,2017-04-10,125.87%~155.33%
300381,预升,2017-04-10,0%~10%
300632,预增,2017-04-10,48.27%~72.98%
300309,预盈,2017-04-08,0
300352,预增,2017-04-08,100%~120%
600581,预盈,2017-04-08,0
000755,预亏,2017-04-08,0
000822,预增,2017-04-08,14030%~14076%
300090,预升,2017-04-08,4.97%~25.67%
000791,减亏,2017-04-08,0
300079,预升,2017-04-08,0%~10%
300178,预升,2017-04-08,5%~35%
601006,预升,2017-04-08,45
300468,预增,2017-04-08,55%~75%
300421,预升,2017-04-08,20%~50%
000836,预减,2017-04-08,-76.64%~-67.87%
300129,预升,2017-04-08,5%~25%
300572,预升,2017-04-08,7.63%~15.91%
300200,预减,2017-04-08,-79.6%~-68%
300277,减亏,2017-04-08,0
300029,预亏,2017-04-08,0
600114,预增,2017-04-08,58%~87%
300412,预降,2017-04-08,-30%~0%
600178,预增,2017-04-08,583
600362,预增,2017-04-08,140%~160%
601857,预盈,2017-04-08,0
000777,预亏,2017-04-08,0
000810,预减,2017-04-08,-83.13%~-76.39%
300488,预升,2017-04-08,0%~30%
300360,预升,2017-04-08,-20%~10%
300466,预升,2017-04-08,25%~45%
300216,预升,2017-04-08,0%~30%
300548,预升,2017-04-08,14.84%~24.85%
300345,预亏,2017-04-08,0
300424,预增,2017-04-08,70%~100%
300021,预增,2017-04-08,90%~120%
300306,预增,2017-04-08,90%~120%
600230,预盈,2017-04-08,0
300228,预盈,2017-04-08,0
600787,预减,2017-04-08,-80
300292,预升,2017-04-08,11.35%~25.87%
600736,预升,2017-04-08,30
300560,预升,2017-04-08,10%~30%
300318,预降,2017-04-08,-55%~-35%
300282,预升,2017-04-08,0%~10%
300097,预亏,2017-04-08,0
300255,预升,2017-04-08,30%~50%
300368,预亏,2017-04-08,0
300013,预增,2017-04-08,95.72%~121.25%
300536,预升,2017-04-08,5.08%~11.91%
300214,预降,2017-04-08,-50%~-30%
300509,预降,2017-04-08,-51.46%~-35.28%
300311,预升,2017-04-08,0%~30%
300462,预降,2017-04-08,-30%~-20%
300499,预亏,2017-04-08,0
300512,预升,2017-04-08,0%~15%
300295,预降,2017-04-08,-30%~0%
600131,预减,2017-04-08,-94.22
300432,预增,2017-04-08,30%~60%
000851,减亏,2017-04-08,0
300308,减亏,2017-04-08,0
300413,预降,2017-04-08,-50%~-20%
300390,预升,2017-04-08,0%~30%
300025,预降,2017-04-08,-40%~-20%
300250,预亏,2017-04-08,0
300168,预降,2017-04-08,-10%~-5%
300266,预增,2017-04-08,137%~162%
300433,预升,2017-04-08,20%~45%
300167,减亏,2017-04-08,0
600096,预盈,2017-04-08,0
600688,预增,2017-04-08,60%~75%
300506,预增,2017-04-08,80%~110%
601919,预盈,2017-04-08,0
300162,预降,2017-04-08,-40%~-10%
300006,预升,2017-04-08,3.91%~29.89%
300151,预降,2017-04-08,-60%~-40%
300038,预升,2017-04-08,0%~30%
300084,减亏,2017-04-08,0
601216,预增,2017-04-08,70%~100%
300439,预升,2017-04-08,5%~25%
300249,预亏,2017-04-08,0
300032,预减,2017-04-08,-90%~-60%
300166,预升,2017-04-08,30%~50%
300274,预升,2017-04-08,5%~10%
300358,预升,2017-04-08,0%~10%
000829,预降,2017-04-08,0
300621,预升,2017-04-08,-2%~23%
300053,预增,2017-04-08,97.12%~116.83%
300579,减亏,2017-04-08,50%~80%
300061,预增,2017-04-08,478.58%~506.4%
300612,预增,2017-04-08,129%~157%
300112,预增,2017-04-08,224%~254%
300248,预降,2017-04-08,-60%~-40%
300600,预升,2017-04-08,25%~35%
300065,预增,2017-04-08,65%~95%
300355,预盈,2017-04-08,0
300012,预盈,2017-04-08,0
300389,预降,2017-04-08,-48%~-40%
300142,减亏,2017-04-08,0
300085,预升,2017-04-08,7.56%~24.11%
300028,预亏,2017-04-08,-795.72%~-765.99%
300087,预增,2017-04-08,23.11%~52.55%
000100,预增,2017-04-08,54%~73%
300098,预升,2017-04-08,0.07%~10.33%
300177,预盈,2017-04-08,0
600322,预增,2017-04-08,0
300270,预升,2017-04-08,10%~30%
300331,预增,2017-04-08,157.67%~187.53%
300590,预升,2017-04-08,11.04%~14.96%
300366,预盈,2017-04-08,0
300119,预升,2017-04-08,25%~35%
300153,预升,2017-04-08,-15%~15%
002149,减亏,2017-04-08,0
600298,预增,2017-04-07,80%~100%
600101,预降,2017-04-07,-22.3
300265,预降,2017-04-07,-45%~-15%
300231,预升,2017-04-07,10%~30%
000026,预增,2017-04-07,60%~70%
600963,预增,2017-04-07,0
000721,减亏,2017-04-07,15.88%~45.53%
600452,预增,2017-04-07,130.09
600742,预增,2017-04-07,102
300526,预升,2017-04-07,-14.46%~14.06%
000953,预减,2017-04-07,0
000619,预亏,2017-04-07,-195%~-148%
300498,预降,2017-04-07,-54.72%~-48.25%
300201,预盈,2017-04-07,0
600269,预增,2017-04-07,120%~150%
300589,预盈,2017-04-07,0
000157,预盈,2017-04-07,0
300481,预升,2017-04-07,0%~20%
300140,预亏,2017-04-07,0
300217,预升,2017-04-07,5%~35%
300535,预升,2017-04-07,15%~35%
300047,预盈,2017-04-07,0
300400,预增,2017-04-07,527%~557%
300088,预增,2017-04-07,110%~140%
300458,预亏,2017-04-07,0
300593,预减,2017-04-07,-67.14%~-61.91%
300349,预增,2017-04-07,80%~105%
300484,预升,2017-04-07,27.91%~39.54%
300192,预降,2017-04-07,-30%~0%
300613,预升,2017-04-07,3.3%~28.09%
