股票代码,预告类型,预告日期,变动范围
600525,预减,2017-04-01,-60%~-40%
300540,预亏,2017-04-01,0
002065,预增,2017-04-01,160%~210%
600436,预增,2017-04-01,50%~60%
002505,预增,2017-04-01,637.29%~677.23%
002481,预升,2017-04-01,-45%~5%
300049,预升,2017-04-01,0%~20%
002374,预减,2017-04-01,-95.67%~-56.75%
000050,预增,2017-04-01,100%~150%
002181,预亏,2017-04-01,0
600711,预增,2017-04-01,1520
000591,预增,2017-04-01,141.84%~176.39%
002051,预升,2017-04-01,10%~30%
002455,预增,2017-04-01,50%~100%
002590,预增,2017-03-31,40%~70%
002322,预增,2017-03-31,310%~360%
002314,预亏,2017-03-31,0
002405,预增,2017-03-31,50%~80%
002425,预增,2017-03-31,155%~205%
002147,预降,2017-03-31,-47.2%~-17.5%
002529,预盈,2017-03-31,218.16%~244.41%
002386,预盈,2017-03-31,0
002748,预增,2017-03-31,300%~350%
000545,预增,2017-03-31,210%~240%
300210,预降,2017-03-31,-10%~0%
300298,预升,2017-03-31,0%~30%
002073,预盈,2017-03-31,0
002305,预升,2017-03-31,10%~50%
002473,预亏,2017-03-31,0
002800,预增,2017-03-31,50%~79.68%
002447,预增,2017-03-31,100%~150%
002671,预亏,2017-03-31,0
002297,预亏,2017-03-31,0
002493,预增,2017-03-31,297.64%~337.4%
002021,减亏,2017-03-31,0
002560,预降,2017-03-31,-70%~-40%
002337,减亏,2017-03-31,0
300448,预亏,2017-03-31,0
002170,预减,2017-03-31,-100%~-60%
002827,预增,2017-03-31,45%~75%
002027,预增,2017-03-31,61.7%~77.1%
002514,预升,2017-03-31,0%~30%
002387,预亏,2017-03-31,0
002576,预盈,2017-03-31,0
002388,预增,2017-03-31,1470%~1520%
002068,预盈,2017-03-31,0
002729,预增,2017-03-31,135%~185%
002539,预增,2017-03-31,30%~60%
002054,预盈,2017-03-31,0
300141,预增,2017-03-31,550%~570%
002679,预亏,2017-03-31,0
002379,预盈,2017-03-31,0
002327,预升,2017-03-31,-15%~15%
002338,预升,2017-03-31,0%~10%
002722,预升,2017-03-31,-20%~20%
002164,预盈,2017-03-31,0
002112,预亏,2017-03-31,0
002569,预亏,2017-03-31,0
002326,预增,2017-03-31,320%~350%
002212,预亏,2017-03-31,0
002103,预增,2017-03-31,50%~100%
002467,预减,2017-03-31,-75%~-66%
002604,预增,2017-03-31,125%~170%
002459,预增,2017-03-31,80%~125%
002229,预亏,2017-03-31,0
002528,减亏,2017-03-31,0
002118,预增,2017-03-31,182.36%~220.01%
002370,预增,2017-03-31,55%~95%
002833,预增,2017-03-31,112%~159.11%
002830,预亏,2017-03-31,0
002442,预盈,2017-03-31,165.75%~187.67%
300283,预升,2017-03-31,17.69%~46.74%
002290,预增,2017-03-31,40%~80%
002440,预增,2017-03-31,123.93%~158.38%
002532,预增,2017-03-31,50%~100%
002192,预降,2017-03-31,-86%~-44%
002094,预增,2017-03-31,50%~80%
002122,预增,2017-03-31,20%~70%
002524,预亏,2017-03-31,0
002115,减亏,2017-03-31,30%~53%
300062,预减,2017-03-31,-75%~-50%
300515,预升,2017-03-31,20%~40%
002016,预盈,2017-03-31,0
002848,预减,2017-03-31,-84.57%~-69.14%
002757,预增,2017-03-31,70%~100%
002444,预升,2017-03-31,-15%~5%
002188,预降,2017-03-31,-76.16%~-28.49%
002134,减亏,2017-03-31,0
002059,预盈,2017-03-31,0
002816,预亏,2017-03-31,0
002455,预增,2017-03-31,50%~100%
002792,预降,2017-03-31,-55.09%~-41.43%
002364,预降,2017-03-31,-30%~-20%
002431,减亏,2017-03-31,0
002373,预升,2017-03-31,5%~15%
002552,减亏,2017-03-31,0
002599,预增,2017-03-31,60%~80%
002339,预亏,2017-03-31,0
002125,预增,2017-03-31,2651.57%~2698.74%
002005,预亏,2017-03-31,0
002416,预增,2017-03-31,22.63%~57.67%
002149,减亏,2017-03-31,0
002642,预降,2017-03-31,-50%~0%
002656,预盈,2017-03-31,977.33%~1024.5%
002439,预亏,2017-03-31,0
002735,预增,2017-03-31,60%~95%
002731,预亏,2017-03-31,0
002248,预亏,2017-03-31,0
002167,预盈,2017-03-31,0
002537,预增,2017-03-31,145%~175%
002512,预亏,2017-03-31,0
002629,减亏,2017-03-31,29.36%~47%
002791,预盈,2017-03-31,0
002693,减亏,2017-03-31,0
002343,预增,2017-03-31,21.94%~51.21%
000011,预增,2017-03-31,51624.1
300516,预升,2017-03-31,0%~10%
002587,预盈,2017-03-31,0
002097,预增,2017-03-31,400%~450%
002084,预增,2017-03-31,70%~120%
002072,减亏,2017-03-31,0
002780,预亏,2017-03-31,0
002660,预亏,2017-03-31,0
002684,预增,2017-03-31,14.04%~204.1%
002070,预亏,2017-03-31,0
002619,预增,2017-03-31,43.2%~93.2%
002366,预升,2017-03-31,-6.36%~7.02%
300547,预升,2017-03-31,3.16%~18.38%
002313,预盈,2017-03-31,0
002568,预盈,2017-03-31,0
002193,预增,2017-03-31,7.25%~57.13%
002715,预盈,2017-03-31,100%~172.43%
