股票代码,基本每股收益(元),每股净资产(元),每股经营现金流(元),每股公积金(元),总股本(万股),每股未分配利润(元),加权净资产收益率(%),毛利率(%),资产负债率(%),营业总收入同比增长(%),归属净利润同比增长(%),扣非净利润同比增长(%)
600000,2.404,15.6362,-8.8812,3.4544,2161827.99,4.5016,16.35,0.0,93.63,9.72,4.93,4.29
600004,0.914,9.1962,1.1434,3.2734,115641.69,4.3747,10.59,39.36,36.28,8.06,14.11,13.71
600005,0.037,2.8527,0.355,0.9837,1009377.98,0.4154,1.3,7.75,69.91,-12.34,0.0,0.0
600006,0.1094,3.2534,0.3714,0.3073,200000.0,1.5825,3.39,14.0,65.54,-5.08,-36.45,-9.09
600007,0.68,6.0906,1.107,1.859,100728.25,2.7316,11.71,55.36,45.25,3.44,9.36,11.37
600008,0.1267,1.6052,0.6137,0.126,482061.41,0.4024,6.76,32.94,65.65,12.04,13.92,75.44
600009,1.46,11.5709,1.3362,1.3366,192695.84,8.5546,13.17,45.13,16.03,10.6,10.83,12.66
600010,0.0026,1.4507,0.1984,0.443,3256073.76,-0.0256,0.18,8.6,66.46,37.9,0.0,0.0
600011,0.58,5.3631,2.073,1.2007,1520038.34,2.5797,10.91,21.46,68.73,-11.71,-36.06,-40.94
600012,0.5627,5.2327,1.0565,0.1691,165861.0,3.4893,11.16,57.49,28.2,2.97,-0.49,-0.81
600015,1.37,12.0091,6.8277,2.6916,1068557.22,4.9881,11.82,0.0,93.44,10.25,5.07,4.89
600016,1.31,9.1187,28.1994,1.7745,3648534.88,3.5803,15.13,0.0,94.03,0.51,3.76,4.44
600017,0.035,3.3833,0.0807,0.961,307565.39,1.2341,1.04,24.07,42.05,5.66,34.83,33.9
600018,0.2994,2.6204,0.0879,0.3704,2317367.47,1.0495,11.38,30.08,41.57,6.26,5.74,7.26
600019,0.2533,5.9939,0.5721,1.9323,2210265.69,1.8893,4.86,12.23,52.03,9.12,148.33,169.23
600020,0.209,3.9543,1.4998,0.7894,224737.18,1.5825,5.42,54.28,74.59,-13.34,-34.63,-37.84
600021,0.4283,4.8089,1.8741,1.8539,213973.93,1.6907,8.77,22.8,71.46,-5.64,-31.22,-18.12
600022,0.0537,1.9601,-0.1418,1.2648,842042.28,-0.3909,2.79,5.03,50.82,55.54,0.0,0.0
600023,0.46,4.2848,0.9816,1.7522,1360069.0,1.2047,11.09,22.34,37.35,-1.29,-10.03,-9.44
600026,0.4768,6.7988,3.0153,1.8837,403203.29,3.0996,6.53,25.02,52.74,-26.01,66.65,40.61
600027,0.339,4.3211,2.244,1.3334,986297.67,1.6778,7.93,22.59,73.14,-10.8,-56.53,-59.66
600028,0.383,5.8828,1.772,0.9872,12107120.96,2.2727,6.68,22.72,44.45,-4.43,43.79,2.81
600029,0.51,4.3983,2.6877,1.421,981756.7,1.7564,12.28,16.06,72.71,2.95,29.88,33.48
600030,0.86,11.7766,-4.0763,4.4944,1211690.84,3.8947,7.36,0.0,75.6,-32.16,-47.65,-48.49
600031,0.0228,2.9534,0.2674,0.0843,765795.2,1.7728,0.75,26.5,59.72,-11.04,0.0,0.0
